ID,SEASON,W_WS_LOC,HW_TOTAL,HW_WORRY,HW_INTERR,HW_CLOTHES,HW_PLANS,HW_FOOD,HW_HANDS,HW_BODY,HW_DRINK,HW_ANGRY,HW_SLEEP,HW_NONE,HW_SHAME,HW_INFO,PSS1,PSS2,PSS3,PSS4,PSS5,PSS6,PSS7,PSS8,PSS9,PSS10,PSS11,PSS12,PSS13,PSS14,PSS_TOTAL,PSS_INFO
112,Oct-Dec,WS,NA,1,0,0,0,0,0,0,0,0,0,0,0,,2,3,1,2,2,2,2,1,2,3,1,1,3,2,N/A,
113,Oct-Dec,WS,NA,1,1,1,2,0,0,0,0,1,0,0,0,,2,1,2,3,3,3,3,2,4,4,2,2,3,0,N/A,
114,Oct-Dec,WS,NA,0,1,1,0,0,0,0,0,0,0,0,0,,2,1,2,3,2,3,3,2,3,2,3,4,2,2,N/A,
115,Oct-Dec,WS,NA,1,1,2,0,0,0,0,0,1,0,0,0,3) Ropa: Por eso lavanderia. Ya no compran otro lavadora; no es tan caro // usa mucho agua.,3,3,4,3,2,2,2,3,2,1,3,4,2,3,N/A,
116,Oct-Dec,WS,NA,3,2,0,0,0,0,1,0,0,0,0,0,,3,3,4,3,2,3,2,2,2,2,4,4,3,4,N/A,
117,Oct-Dec,WS,NA,1,0,1,0,0,0,0,0,0,0,0,0,"8) Bebida: Si se acaba, usa maquinita. Siempre abierto --> esta mas barato.",3,3,3,3,3,3,2,3,3,4,3,3,2,3,N/A,
118,Oct-Dec,WS,NA,0,0,0,1,1,0,1,0,1,0,1,0,"4) Planes: estaba muy sucia.
5) Alimentos: porque estaba sucia.",2,3,3,3,3,1,3,1,3,1,4,3,1,2,N/A,
119,Oct-Dec,WS,NA,1,2,1,1,1,0,0,1,1,1,1,0,10) Suenio: Se acaba garrafon.,4,4,4,1,2,2,1,2,2,1,3,3,3,3,N/A,escrito debajo de puntaje total: enfermedad 3 meses
120,Oct-Dec,WS,NA,0,0,0,2,1,0,1,0,0,0,0,0,,2,3,4,1,2,2,3,1,2,2,2,3,2,3,N/A,
121,Oct-Dec,WS,NA,1,0,0,0,0,0,0,1,0,1,1,0,,1,2,2,2,2,3,2,2,3,4,4,4,2,4,N/A,
122,Oct-Dec,WS,NA,0,1,1,1,0,0,0,0,0,0,1,0,,1,0,1,3,3,3,3,1,3,2,2,2,3,1,N/A,
